x,y,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,LOCAL_MONTH,SNOW_ON_GROUND,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,ID,MIN_TEMPERATURE,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN,LOCAL_YEAR,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,MEAN_TEMPERATURE,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,STATION_NAME
-79.4,43.666666666666664,,,,1.3,1,,M,6158355,,,ON,1.9,,,0,,2010-01-01 00:00:00,75,M,1,6158355.2010.1.1,-9.9,96,M,,2010,,22,,-4,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,-9.7,,,0,,2010-01-02 00:00:00,65,M,2,6158355.2010.1.2,-16.5,78,M,,2010,,31.1,,-13.1,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,2.3,1,,M,6158355,,,ON,-9.3,,,0,,2010-01-03 00:00:00,73,M,3,6158355.2010.1.3,-14.7,87,M,,2010,,30,,-12,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,-6.7,,,0,,2010-01-04 00:00:00,73,M,4,6158355.2010.1.4,-12,84,M,,2010,,27.4,,-9.4,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,2.9,1,,M,6158355,,,ON,-3.6,,,0,,2010-01-05 00:00:00,77,M,5,6158355.2010.1.5,-10.4,91,M,,2010,,25,,-7,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,-1.9,,,0,,2010-01-06 00:00:00,75,M,6,6158355.2010.1.6,-8.9,87,M,,2010,,23.4,,-5.4,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,-2.6,,,0,,2010-01-07 00:00:00,74,M,7,6158355.2010.1.7,-6,89,M,,2010,,22.3,,-4.3,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,1.4,1,,M,6158355,,,ON,-6,,,0,,2010-01-08 00:00:00,66,M,8,6158355.2010.1.8,-11.4,90,M,,2010,,26.7,,-8.7,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,-8.6,,,0,,2010-01-09 00:00:00,48,M,9,6158355.2010.1.9,-14,77,M,,2010,,29.3,,-11.3,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,-1.7,,,0,,2010-01-10 00:00:00,58,M,10,6158355.2010.1.10,-12.1,81,M,,2010,,24.9,,-6.9,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0.6,1,,M,6158355,,,ON,-3.3,,,0,,2010-01-11 00:00:00,56,M,11,6158355.2010.1.11,-6.5,89,M,,2010,,22.9,,-4.9,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,-4.3,,,0,,2010-01-12 00:00:00,62,M,12,6158355.2010.1.12,-7.3,80,M,,2010,,23.8,,-5.8,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,0.8,,,0,,2010-01-13 00:00:00,69,M,13,6158355.2010.1.13,-5.2,87,M,,2010,,20.2,,-2.2,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,4.6,,,0,,2010-01-14 00:00:00,68,M,14,6158355.2010.1.14,-3.1,87,M,,2010,,17.2,,0.8,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,4.7,,,0,,2010-01-15 00:00:00,66,M,15,6158355.2010.1.15,2.3,85,M,,2010,,14.5,,3.5,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,2.9,,,0,,2010-01-16 00:00:00,73,M,16,6158355.2010.1.16,-0.6,90,M,,2010,,16.8,,1.2,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,3,,,0,,2010-01-17 00:00:00,88,M,17,6158355.2010.1.17,-0.4,97,M,,2010,,16.7,,1.3,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,2.3,,,0,,2010-01-18 00:00:00,80,M,18,6158355.2010.1.18,-1,96,M,,2010,,17.3,,0.7,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,2.3,,,0,,2010-01-19 00:00:00,78,M,19,6158355.2010.1.19,-2,94,M,,2010,,17.8,,0.2,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,-1,,,0,,2010-01-20 00:00:00,63,M,20,6158355.2010.1.20,-5.4,82,M,,2010,,21.2,,-3.2,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,0.9,,,0,,2010-01-21 00:00:00,77,M,21,6158355.2010.1.21,-5.9,89,M,,2010,,20.5,,-2.5,,,M,TORONTO CITY
-79.4,43.666666666666664,,,,0,1,,M,6158355,,,ON,2.6,,,0,,2010-01-22 00:00:00,47,M,22,6158355.2010.1.22,-1.2,91,M,,2010,,17.3,,0.7,,,M,TORONTO CITY
